maintenance_id,version,asset_id,section_id,required_skill,job_type,urgency,risk_level,condition_score,minimum_duration_min,preferred_start_time,earliest_start_time,latest_end_time,status,created_at
M011,1,AST-01-05,SEC-NDLS-RE,BRIDGE,INSPECTION,EMERGENCY,CRITICAL,49.0,60,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T03:11:38.796473+05:30
M012,1,AST-01-01,SEC-NDLS-RE,TRACK,INSPECTION,HIGH,LOW,94.0,83,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T10:57:24.048888+05:30
M013,1,AST-01-01,SEC-NDLS-RE,TRACK,INSPECTION,HIGH,LOW,94.0,83,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T11:09:26.949891+05:30
M014,1,AST-03-04,SEC-AWR-BKI,POINT_MACHINE,INSPECTION,EMERGENCY,CRITICAL,34.0,88,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T12:10:28.673134+05:30
M015,1,AST-03-04,SEC-AWR-BKI,POINT_MACHINE,INSPECTION,EMERGENCY,CRITICAL,34.0,88,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T12:19:08.868968+05:30
M016,1,AST-01-04,SEC-NDLS-RE,POINT_MACHINE,INSPECTION,HIGH,HIGH,62.0,86,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T12:19:50.453960+05:30
M017,1,AST-01-03,SEC-NDLS-RE,OHE,INSPECTION,HIGH,MEDIUM,73.0,84,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T12:22:46.611836+05:30
M018,1,AST-03-04,SEC-AWR-BKI,POINT_MACHINE,INSPECTION,EMERGENCY,CRITICAL,34.0,88,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T15:19:09.095117+05:30
M019,1,AST-02-02,SEC-RE-AWR,SIGNAL,INSPECTION,HIGH,MEDIUM,73.0,84,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T15:24:37.588811+05:30
M020,1,AST-03-04,SEC-AWR-BKI,POINT_MACHINE,INSPECTION,EMERGENCY,CRITICAL,34.0,88,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T15:33:48.218870+05:30
M021,1,AST-02-01,SEC-RE-AWR,TRACK,INSPECTION,HIGH,LOW,84.0,81,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T15:54:49.761403+05:30
M022,1,AST-02-01,SEC-RE-AWR,TRACK,INSPECTION,HIGH,LOW,84.0,81,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T16:25:11.994839+05:30
M023,1,AST-03-06,SEC-AWR-BKI,TELECOM,INSPECTION,HIGH,LOW,84.0,83,2026-09-11T08:00:00+05:30,2026-09-11T06:00:00+05:30,2026-09-11T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-10T17:27:01.754526+05:30
M024,1,AST-01-06,SEC-NDLS-RE,TELECOM,INSPECTION,EMERGENCY,CRITICAL,34.0,88,2026-09-12T08:00:00+05:30,2026-09-12T06:00:00+05:30,2026-09-12T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-11T09:22:00.303316+05:30
M025,1,AST-01-03,SEC-NDLS-RE,OHE,INSPECTION,HIGH,MEDIUM,73.0,84,2026-09-12T08:00:00+05:30,2026-09-12T06:00:00+05:30,2026-09-12T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-11T12:03:01.276535+05:30
M026,1,AST-01-02,SEC-NDLS-RE,SIGNAL,INSPECTION,HIGH,LOW,84.0,81,2026-09-12T08:00:00+05:30,2026-09-12T06:00:00+05:30,2026-09-12T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-11T13:55:44.096235+05:30
M027,1,AST-01-01,SEC-NDLS-RE,TRACK,INSPECTION,HIGH,LOW,94.0,83,2026-09-12T08:00:00+05:30,2026-09-12T06:00:00+05:30,2026-09-12T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-11T14:14:10.521524+05:30
M028,1,AST-02-01,SEC-RE-AWR,TRACK,INSPECTION,HIGH,LOW,84.0,81,2026-09-12T08:00:00+05:30,2026-09-12T06:00:00+05:30,2026-09-12T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-11T14:38:50.607268+05:30
M029,1,AST-02-01,SEC-RE-AWR,TRACK,INSPECTION,HIGH,LOW,84.0,81,2026-09-12T08:00:00+05:30,2026-09-12T06:00:00+05:30,2026-09-12T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-11T14:39:05.523937+05:30
M030,1,AST-01-06,SEC-NDLS-RE,TELECOM,INSPECTION,EMERGENCY,CRITICAL,34.0,88,2026-09-12T08:00:00+05:30,2026-09-12T06:00:00+05:30,2026-09-12T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-11T14:47:28.289908+05:30
M031,1,AST-01-03,SEC-NDLS-RE,OHE,INSPECTION,HIGH,MEDIUM,73.0,84,2026-09-12T08:00:00+05:30,2026-09-12T06:00:00+05:30,2026-09-12T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-11T16:53:53.776593+05:30
M032,1,AST-01-01,SEC-NDLS-RE,TRACK,INSPECTION,HIGH,LOW,94.0,83,2026-09-12T08:00:00+05:30,2026-09-12T06:00:00+05:30,2026-09-12T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-11T18:20:39.650303+05:30
M033,1,AST-01-01,SEC-NDLS-RE,TRACK,INSPECTION,HIGH,LOW,94.0,83,2026-09-12T08:00:00+05:30,2026-09-12T06:00:00+05:30,2026-09-12T22:00:00+05:30,REQUIREMENT_CREATED,2026-09-11T21:36:54.196967+05:30
